,cyclomatic_complexity,nloc,token_count,name,long_name,start_line,end_line,filename,top_nesting_level,code,CWEs,is_vul
18,16,51,323,PROCESS_THREAD,"PROCESS_THREAD( slip_process , ev , data)",253,313,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_iy_khv4s_Flawfinder,0,"PROCESS_THREAD( slip_process , ev , data)","[('CWE-119!/CWE-120', '      char buf[8];'), ('CWE-120', '      memcpy(&buf[0], ""=IPA"", 4);'), ('CWE-120', '      memcpy(&buf[4], &uip_hostaddr, 4);')]",True
19,16,63,252,slip_input_byte,slip_input_byte( unsigned char c),316,391,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_iy_khv4s_Flawfinder,0,slip_input_byte( unsigned char c),[],False
20,1,1,13,htons,htons( u16_t val),21,21,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_rlyk13ra_Flawfinder,0,htons( u16_t val),[],False
21,3,11,95,uip_netif_addr_autoconf_set,"uip_netif_addr_autoconf_set( uip_ipaddr_t * ipaddr , uip_lladdr_t * lladdr)",28,49,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_rlyk13ra_Flawfinder,0,"uip_netif_addr_autoconf_set( uip_ipaddr_t * ipaddr , uip_lladdr_t * lladdr)","[('CWE-120', '  memcpy(ipaddr->u8 + 8, lladdr, UIP_LLADDR_LEN);'), ('CWE-120', '  memcpy(ipaddr->u8 + 8, lladdr, 3);'), ('CWE-120', '  memcpy(ipaddr->u8 + 13, lladdr + 3, 3);')]",True
22,1,4,18,uip_netif_addr_add,"uip_netif_addr_add( uip_ipaddr_t * ipaddr , u8_t length , unsigned long vlifetime , uip_netif_type type)",52,55,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_rlyk13ra_Flawfinder,0,"uip_netif_addr_add( uip_ipaddr_t * ipaddr , u8_t length , unsigned long vlifetime , uip_netif_type type)",[],False
23,5,24,124,chksum,"chksum( u16_t sum , const u8_t * data , u16_t len)",59,87,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_rlyk13ra_Flawfinder,0,"chksum( u16_t sum , const u8_t * data , u16_t len)",[],False
24,2,11,101,upper_layer_chksum,upper_layer_chksum( u8_t proto),90,108,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_rlyk13ra_Flawfinder,0,upper_layer_chksum( u8_t proto),[],False
25,1,4,12,uip_icmp6chksum,uip_icmp6chksum( void),112,115,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_rlyk13ra_Flawfinder,0,uip_icmp6chksum( void),[],False
26,1,12,50,usage,usage( int result),40,51,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_y41tn6w__Flawfinder,0,"usage( int result)	      fprintf(stderr, ""**** slip overflow\n"");
	      index = 0;
	      flags = 2;
	    }
	    break;
	  }
	  break;
	}
      }

      /* after processing for some output modes */
",[],False
27,8,25,164,print_hex_line,"print_hex_line( unsigned char * prefix , unsigned char * outbuf , int index)",54,79,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_y41tn6w__Flawfinder,0,"print_hex_line( unsigned char * prefix , unsigned char * outbuf , int index)",[],False
28,59,241,1355,main,"main( int argc , char ** argv)",81,368,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_y41tn6w__Flawfinder,0,"main( int argc , char ** argv)","[('CWE-120, CWE-20', '      int i, j, n = read(fd, buf, sizeof(buf));'), ('CWE-362', '  fd = open(device, O_RDWR | O_NOCTTY | O_NDELAY | O_DIRECT | O_SYNC );'), ('CWE-120, CWE-20', '      int n = read(fileno(stdin), buf, sizeof(buf));'), ('CWE-126', '\tif(strlen(&argv[index][2]) == 0) {'), ('CWE-676', '\t      usleep(6000);'), ('CWE-119!/CWE-120', '  unsigned char buf[BUFSIZE], outbuf[HCOLS];')]",True
