,file,line,column,category,name,msg,note,cwe,context,helpuri,tool,severity,defaultlevel,level,suggestion,fingerprint,toolversion,ruleid
18,data/projects/contiki-2.4/apps/shell/shell-rime-neighbors.c,80,66,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
19,data/projects/contiki-2.4/apps/shell/shell-rime-sniff.c,129,32,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
20,data/projects/contiki-2.4/apps/shell/shell-rime-unicast.c,176,39,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
21,data/projects/contiki-2.4/apps/shell/shell-vars.c,109,12,,bufferAccessOutOfBounds,Buffer is accessed out of bounds: numbuf,Buffer overrun,CWE-788,,,CppCheck,error,,,,,,
22,data/projects/contiki-2.4/apps/webserver/webserver.c,98,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
23,data/projects/contiki-2.4/apps/webserver/webserver.c,119,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
24,data/projects/contiki-2.4/apps/ftp/ftpc.c,288,11,,wrongPrintfScanfArgNum,sprintf format string requires 6 parameters but only 3 are given.,[],CWE-685,,,CppCheck,error,,,,,,
25,data/projects/contiki-2.4/apps/irc/irc.c,129,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
26,data/projects/contiki-2.4/apps/irc/irc.c,148,5,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
27,data/projects/contiki-2.4/apps/shell/shell-blink.c,61,3,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If PROCESS_EXITHANDLER is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
28,data/projects/contiki-2.4/apps/shell/shell-download.c,248,49,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
29,data/projects/contiki-2.4/apps/shell/shell-rime-neighbors.c,80,66,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
30,data/projects/contiki-2.4/apps/shell/shell-rime-sniff.c,129,32,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
31,data/projects/contiki-2.4/apps/shell/shell-rime-unicast.c,176,39,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
32,data/projects/contiki-2.4/apps/shell/shell-vars.c,109,12,,bufferAccessOutOfBounds,Buffer is accessed out of bounds: numbuf,Buffer overrun,CWE-788,,,CppCheck,error,,,,,,
33,data/projects/contiki-2.4/apps/webserver/webserver.c,98,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
34,data/projects/contiki-2.4/apps/webserver/webserver.c,119,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
35,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_4pq_l7ax_Flawfinder,38.0,5,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,CWE-134,"int snprintf(char *str, size_t size, const char *format, ...);",https://cwe.mitre.org/data/definitions/134.html,FlawFinder,,,,,,,
36,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_4pq_l7ax_Flawfinder,134.0,5,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).,Risk is low because the source is a constant string.",CWE-120,"    strcpy(s->filename, ""notfound.html"");",https://cwe.mitre.org/data/definitions/120.html,FlawFinder,,,,,,,
37,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_4pq_l7ax_Flawfinder,60.0,59,buffer,strlen,Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,nan,CWE-126,"#define SEND_STRING(s, str) PSOCK_SEND(s, (uint8_t *)str, strlen(str))",https://cwe.mitre.org/data/definitions/126.html,FlawFinder,,,,,,,
38,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_4pq_l7ax_Flawfinder,177.0,5,buffer,strncpy,Easily used incorrectly; doesn't always \0-terminate or check for invalid pointers [MS-banned] (CWE-120).,nan,CWE-120,"    strncpy(s->filename, &http_index_html[1], sizeof(s->filename));",https://cwe.mitre.org/data/definitions/120.html,FlawFinder,,,,,,,
39,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_4pq_l7ax_Flawfinder,180.0,5,buffer,strncpy,Easily used incorrectly; doesn't always \0-terminate or check for invalid pointers [MS-banned] (CWE-120).,nan,CWE-120,"    strncpy(s->filename, &s->inputbuf[1], sizeof(s->filename));",https://cwe.mitre.org/data/definitions/120.html,FlawFinder,,,,,,,
40,data/projects/contiki-2.4/apps/ftp/ftpc.c,288.0,11,,wrongPrintfScanfArgNum,sprintf format string requires 6 parameters but only 3 are given.,[],CWE-685,,,CppCheck,error,,,,,,
41,data/projects/contiki-2.4/apps/irc/irc.c,129.0,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
42,data/projects/contiki-2.4/apps/irc/irc.c,148.0,5,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
43,data/projects/contiki-2.4/apps/shell/shell-blink.c,61.0,3,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If PROCESS_EXITHANDLER is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
44,data/projects/contiki-2.4/apps/shell/shell-download.c,248.0,49,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
45,data/projects/contiki-2.4/apps/shell/shell-rime-neighbors.c,80.0,66,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
46,data/projects/contiki-2.4/apps/shell/shell-rime-sniff.c,129.0,32,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
47,data/projects/contiki-2.4/apps/shell/shell-rime-unicast.c,176.0,39,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
48,data/projects/contiki-2.4/apps/shell/shell-vars.c,109.0,12,,bufferAccessOutOfBounds,Buffer is accessed out of bounds: numbuf,Buffer overrun,CWE-788,,,CppCheck,error,,,,,,
49,data/projects/contiki-2.4/apps/webserver/webserver.c,98.0,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
50,data/projects/contiki-2.4/apps/webserver/webserver.c,119.0,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
51,data/projects/contiki-2.4/apps/ftp/ftpc.c,288,11,,wrongPrintfScanfArgNum,sprintf format string requires 6 parameters but only 3 are given.,[],CWE-685,,,CppCheck,error,,,,,,
52,data/projects/contiki-2.4/apps/irc/irc.c,129,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
53,data/projects/contiki-2.4/apps/irc/irc.c,148,5,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
54,data/projects/contiki-2.4/apps/shell/shell-blink.c,61,3,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If PROCESS_EXITHANDLER is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
55,data/projects/contiki-2.4/apps/shell/shell-download.c,248,49,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
56,data/projects/contiki-2.4/apps/shell/shell-rime-neighbors.c,80,66,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
57,data/projects/contiki-2.4/apps/shell/shell-rime-sniff.c,129,32,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
58,data/projects/contiki-2.4/apps/shell/shell-rime-unicast.c,176,39,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
59,data/projects/contiki-2.4/apps/shell/shell-vars.c,109,12,,bufferAccessOutOfBounds,Buffer is accessed out of bounds: numbuf,Buffer overrun,CWE-788,,,CppCheck,error,,,,,,
60,data/projects/contiki-2.4/apps/webserver/webserver.c,98,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
61,data/projects/contiki-2.4/apps/webserver/webserver.c,119,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
62,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_ze9fwbzj_Flawfinder,72.0,3,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,  char buf[48];,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
63,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_ze9fwbzj_Flawfinder,77.0,3,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,  char buf[20];,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
64,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_ze9fwbzj_Flawfinder,78.0,3,buffer,sprintf,Does not check for buffer overflows (CWE-120).,"Use sprintf_s, snprintf, or vsnprintf.,Risk is low because the source has a constant maximum length.",CWE-120,"  sprintf(buf, ""%d.%d.%d.%d: "", requester->u8[0], requester->u8[1],",https://cwe.mitre.org/data/definitions/120.html,FlawFinder,,,,,,,
65,data/projects/contiki-2.4/apps/ftp/ftpc.c,288.0,11,,wrongPrintfScanfArgNum,sprintf format string requires 6 parameters but only 3 are given.,[],CWE-685,,,CppCheck,error,,,,,,
66,data/projects/contiki-2.4/apps/irc/irc.c,129.0,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
67,data/projects/contiki-2.4/apps/irc/irc.c,148.0,5,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
68,data/projects/contiki-2.4/apps/shell/shell-blink.c,61.0,3,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If PROCESS_EXITHANDLER is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
69,data/projects/contiki-2.4/apps/shell/shell-download.c,248.0,49,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
70,data/projects/contiki-2.4/apps/shell/shell-rime-neighbors.c,80.0,66,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
71,data/projects/contiki-2.4/apps/shell/shell-rime-sniff.c,129.0,32,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
72,data/projects/contiki-2.4/apps/shell/shell-rime-unicast.c,176.0,39,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
73,data/projects/contiki-2.4/apps/shell/shell-vars.c,109.0,12,,bufferAccessOutOfBounds,Buffer is accessed out of bounds: numbuf,Buffer overrun,CWE-788,,,CppCheck,error,,,,,,
74,data/projects/contiki-2.4/apps/webserver/webserver.c,98.0,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
75,data/projects/contiki-2.4/apps/webserver/webserver.c,119.0,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
76,data/projects/contiki-2.4/apps/ftp/ftpc.c,288,11,,wrongPrintfScanfArgNum,sprintf format string requires 6 parameters but only 3 are given.,[],CWE-685,,,CppCheck,error,,,,,,
77,data/projects/contiki-2.4/apps/irc/irc.c,129,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
78,data/projects/contiki-2.4/apps/irc/irc.c,148,5,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
79,data/projects/contiki-2.4/apps/shell/shell-blink.c,61,3,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If PROCESS_EXITHANDLER is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
80,data/projects/contiki-2.4/apps/shell/shell-download.c,248,49,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
81,data/projects/contiki-2.4/apps/shell/shell-rime-neighbors.c,80,66,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
82,data/projects/contiki-2.4/apps/shell/shell-rime-sniff.c,129,32,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
83,data/projects/contiki-2.4/apps/shell/shell-rime-unicast.c,176,39,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
84,data/projects/contiki-2.4/apps/shell/shell-vars.c,109,12,,bufferAccessOutOfBounds,Buffer is accessed out of bounds: numbuf,Buffer overrun,CWE-788,,,CppCheck,error,,,,,,
85,data/projects/contiki-2.4/apps/webserver/webserver.c,98,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
86,data/projects/contiki-2.4/apps/webserver/webserver.c,119,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
87,data/projects/contiki-2.4/apps/ftp/ftpc.c,288,11,,wrongPrintfScanfArgNum,sprintf format string requires 6 parameters but only 3 are given.,[],CWE-685,,,CppCheck,error,,,,,,
88,data/projects/contiki-2.4/apps/irc/irc.c,129,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
89,data/projects/contiki-2.4/apps/irc/irc.c,148,5,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
90,data/projects/contiki-2.4/apps/shell/shell-blink.c,61,3,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If PROCESS_EXITHANDLER is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
91,data/projects/contiki-2.4/apps/shell/shell-download.c,248,49,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
92,data/projects/contiki-2.4/apps/shell/shell-rime-neighbors.c,80,66,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
93,data/projects/contiki-2.4/apps/shell/shell-rime-sniff.c,129,32,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
94,data/projects/contiki-2.4/apps/shell/shell-rime-unicast.c,176,39,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
95,data/projects/contiki-2.4/apps/shell/shell-vars.c,109,12,,bufferAccessOutOfBounds,Buffer is accessed out of bounds: numbuf,Buffer overrun,CWE-788,,,CppCheck,error,,,,,,
96,data/projects/contiki-2.4/apps/webserver/webserver.c,98,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
97,data/projects/contiki-2.4/apps/webserver/webserver.c,119,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
98,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,1.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_http[8] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
99,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,4.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_200[5] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
100,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,7.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_301[5] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
101,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,10.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_302[5] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
102,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,13.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_get[5] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
103,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,16.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_10[9] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
104,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,19.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_11[9] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
105,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,22.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_content_type[15] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
106,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,25.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_texthtml[10] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
107,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,28.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_location[11] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
108,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,31.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_host[7] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
109,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,34.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_crnl[3] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
110,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,37.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_index_html[12] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
111,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,40.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_404_html[10] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
112,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,43.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_referer[9] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
113,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_5pfji7kf_Flawfinder,46.0,7,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,const char http_header_200[86] = ,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
