,cyclomatic_complexity,nloc,token_count,name,long_name,start_line,end_line,filename,code,fun_name,content,is_vul,cwe
10,2,10,40,PROCESS_THREAD,"PROCESS_THREAD( webserver_nogui_process , ev , data)",51,63,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_ze9fwbzj_Flawfinder,"PROCESS_THREAD( webserver_nogui_process , ev , data){
  PROCESS_BEGIN();

  httpd_init();

  while(1) {
    PROCESS_WAIT_EVENT_UNTIL(ev == tcpip_event);
    httpd_appcall(data);
  }
  
  PROCESS_END();
}
",PROCESS_THREAD,,True,unknown_vul
11,3,11,107,webserver_log_file,"webserver_log_file( uip_ipaddr_t * requester , char * file)",66,84,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_ze9fwbzj_Flawfinder,"webserver_log_file( uip_ipaddr_t * requester , char * file){
#if LOG_CONF_ENABLED
  /* Print out IP address of requesting host. */

#if UIP_CONF_IPV6
  char buf[48];
  uint8_t j;
  j=httpd_sprint_ip6((uip_ip6addr_t)*requester, buf);
  buf[j]=':';buf[j+1]=' ';buf[j+2]=0;
#else
  char buf[20];
  sprintf(buf, ""%d.%d.%d.%d: "", requester->u8[0], requester->u8[1],
                                requester->u8[2], requester->u8[3]);
#endif /* UIP_CONF_IPV6 */

  log_message(buf, file);
#endif /* LOG_CONF_ENABLED */
}
",webserver_log_file,,True,"[nan, 'CWE-119!/CWE-120', 'CWE-120']"
12,3,11,107,webserver_log_file,"webserver_log_file( uip_ipaddr_t * requester , char * file)",66,84,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_ze9fwbzj_Flawfinder,"webserver_log_file( uip_ipaddr_t * requester , char * file){
#if LOG_CONF_ENABLED
  /* Print out IP address of requesting host. */

#if UIP_CONF_IPV6
  char buf[48];
  uint8_t j;
  j=httpd_sprint_ip6((uip_ip6addr_t)*requester, buf);
  buf[j]=':';buf[j+1]=' ';buf[j+2]=0;
#else
  char buf[20];
  sprintf(buf, ""%d.%d.%d.%d: "", requester->u8[0], requester->u8[1],
                                requester->u8[2], requester->u8[3]);
#endif /* UIP_CONF_IPV6 */

  log_message(buf, file);
#endif /* LOG_CONF_ENABLED */
}
",webserver_log_file,,True,"[nan, 'CWE-119!/CWE-120', 'CWE-120']"
13,1,4,15,webserver_log,webserver_log( char * msg),87,90,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_ze9fwbzj_Flawfinder,"webserver_log( char * msg){
  log_message(msg, """");
}
",webserver_log,,False,benign
14,2,11,75,generate,generate( void * state),71,83,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_75agzp7u_Flawfinder,"generate( void * state){
  struct httpd_state *s = (struct httpd_state *)state;

  if(s->file.len > uip_mss()) {
    s->len = uip_mss();
  } else {
    s->len = s->file.len;
  }
  memcpy(uip_appdata, s->file.data, s->len);
  
  return s->len;
}
",generate,,True,"[nan, 'CWE-120']"
15,2,10,74,PT_THREAD,PT_THREAD( send_file(struct httpd_state*s)),86,97,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_75agzp7u_Flawfinder,"PT_THREAD( send_file(struct httpd_state*s)){
  PSOCK_BEGIN(&s->sout);
  
  do {
    PSOCK_GENERATOR_SEND(&s->sout, generate, s);
    s->file.len -= s->len;
    s->file.data += s->len;
  } while(s->file.len > 0);
      
  PSOCK_END(&s->sout);
}
",PT_THREAD,,False,benign
16,1,6,50,PT_THREAD,PT_THREAD( send_part_of_file(struct httpd_state*s)),100,107,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_75agzp7u_Flawfinder,"PT_THREAD( send_part_of_file(struct httpd_state*s)){
  PSOCK_BEGIN(&s->sout);

  PSOCK_SEND(&s->sout, (uint8_t *)s->file.data, s->len);
  
  PSOCK_END(&s->sout);
}
",PT_THREAD,,False,benign
17,2,11,67,next_scriptstate,next_scriptstate( struct httpd_state * s),110,125,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_75agzp7u_Flawfinder,"next_scriptstate( struct httpd_state * s){
  char *p;

  if((p = strchr(s->scriptptr, ISO_nl)) != NULL) {
    p += 1;
    s->scriptlen -= (unsigned short)(p - s->scriptptr);
    s->scriptptr = p;
  } else {
    s->scriptlen = 0;
  }
  /*  char *p;
  p = strchr(s->scriptptr, ISO_nl) + 1;
  s->scriptlen -= (unsigned short)(p - s->scriptptr);
  s->scriptptr = p;*/
}
",next_scriptstate,,True,unknown_vul
18,10,44,354,PT_THREAD,PT_THREAD( handle_script(struct httpd_state*s)),128,183,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_75agzp7u_Flawfinder,"PT_THREAD( handle_script(struct httpd_state*s)){
  char *ptr;
  
  PT_BEGIN(&s->scriptpt);

  while(s->file.len > 0) {

    /* Check if we should start executing a script. */
    if(*s->file.data == ISO_percent &&
       *(s->file.data + 1) == ISO_bang) {
      s->scriptptr = s->file.data + 3;
      s->scriptlen = s->file.len - 3;
      if(*(s->scriptptr - 1) == ISO_colon) {
	httpd_fs_open(s->scriptptr + 1, &s->file);
	PT_WAIT_THREAD(&s->scriptpt, send_file(s));
      } else {
	PT_WAIT_THREAD(&s->scriptpt,
		       httpd_cgi(s->scriptptr)(s, s->scriptptr));
      }
      next_scriptstate(s);
      
      /* The script is over, so we reset the pointers and continue
	 sending the rest of the file. */
      s->file.data = s->scriptptr;
      s->file.len = s->scriptlen;
    } else {
      /* See if we find the start of script marker in the block of HTML
	 to be sent. */

      if(s->file.len > uip_mss()) {
	s->len = uip_mss();
      } else {
	s->len = s->file.len;
      }

      if(*s->file.data == ISO_percent) {
	ptr = strchr(s->file.data + 1, ISO_percent);
      } else {
	ptr = strchr(s->file.data, ISO_percent);
      }
      if(ptr != NULL &&
	 ptr != s->file.data) {
	s->len = (int)(ptr - s->file.data);
	if(s->len >= uip_mss()) {
	  s->len = uip_mss();
	}
      }
      PT_WAIT_THREAD(&s->scriptpt, send_part_of_file(s));
      s->file.data += s->len;
      s->file.len -= s->len;
    }
  }
  
  PT_END(&s->scriptpt);
}
",PT_THREAD,,True,unknown_vul
19,8,24,230,PT_THREAD,"PT_THREAD( send_headers(struct httpd_state*s,const char*statushdr))",186,212,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_75agzp7u_Flawfinder,"PT_THREAD( send_headers(struct httpd_state*s,const char*statushdr)){
  char *ptr;

  PSOCK_BEGIN(&s->sout);

  SEND_STRING(&s->sout, statushdr);

  ptr = strrchr(s->filename, ISO_period);
  if(ptr == NULL) {
    SEND_STRING(&s->sout, http_content_type_binary);
  } else if(strncmp(http_html, ptr, 5) == 0 ||
	    strncmp(http_shtml, ptr, 6) == 0) {
    SEND_STRING(&s->sout, http_content_type_html);
  } else if(strncmp(http_css, ptr, 4) == 0) {
    SEND_STRING(&s->sout, http_content_type_css);
  } else if(strncmp(http_png, ptr, 4) == 0) {
    SEND_STRING(&s->sout, http_content_type_png);
  } else if(strncmp(http_gif, ptr, 4) == 0) {
    SEND_STRING(&s->sout, http_content_type_gif);
  } else if(strncmp(http_jpg, ptr, 4) == 0) {
    SEND_STRING(&s->sout, http_content_type_jpg);
  } else {
    SEND_STRING(&s->sout, http_content_type_plain);
  }
  PSOCK_END(&s->sout);
}
",PT_THREAD,,False,benign
20,4,27,180,PT_THREAD,PT_THREAD( handle_output(struct httpd_state*s)),215,243,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_75agzp7u_Flawfinder,"PT_THREAD( handle_output(struct httpd_state*s)){
  char *ptr;
  
  PT_BEGIN(&s->outputpt);
 
  if(!httpd_fs_open(s->filename, &s->file)) {
    httpd_fs_open(http_404_html, &s->file);
    PT_WAIT_THREAD(&s->outputpt,
		   send_headers(s,
		   http_header_404));
    PT_WAIT_THREAD(&s->outputpt,
		   send_file(s));
  } else {
    PT_WAIT_THREAD(&s->outputpt,
		   send_headers(s,
		   http_header_200));
    ptr = strchr(s->filename, ISO_period);
    if(ptr != NULL && strncmp(ptr, http_shtml, 6) == 0) {
      PT_INIT(&s->scriptpt);
      PT_WAIT_THREAD(&s->outputpt, handle_script(s));
    } else {
      PT_WAIT_THREAD(&s->outputpt,
		     send_file(s));
    }
  }
  PSOCK_CLOSE(&s->sout);
  PT_END(&s->outputpt);
}
",PT_THREAD,,False,benign
21,6,29,257,PT_THREAD,PT_THREAD( handle_input(struct httpd_state*s)),246,283,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_75agzp7u_Flawfinder,"PT_THREAD( handle_input(struct httpd_state*s)){
  PSOCK_BEGIN(&s->sin);

  PSOCK_READTO(&s->sin, ISO_space);
  
  if(strncmp(s->inputbuf, http_get, 4) != 0) {
    PSOCK_CLOSE_EXIT(&s->sin);
  }
  PSOCK_READTO(&s->sin, ISO_space);

  if(s->inputbuf[0] != ISO_slash) {
    PSOCK_CLOSE_EXIT(&s->sin);
  }

  if(s->inputbuf[1] == ISO_space) {
    strncpy(s->filename, http_index_html, sizeof(s->filename));
  } else {
    s->inputbuf[PSOCK_DATALEN(&s->sin) - 1] = 0;
    strncpy(s->filename, &s->inputbuf[0], sizeof(s->filename));
  }

  webserver_log_file(&uip_conn->ripaddr, s->filename);
  
  s->state = STATE_OUTPUT;

  while(1) {
    PSOCK_READTO(&s->sin, ISO_nl);

    if(strncmp(s->inputbuf, http_referer, 8) == 0) {
      s->inputbuf[PSOCK_DATALEN(&s->sin) - 2] = 0;
      petsciiconv_topetscii(s->inputbuf, PSOCK_DATALEN(&s->sin) - 2);
      webserver_log(s->inputbuf);
    }
  }
  
  PSOCK_END(&s->sin);
}
",PT_THREAD,,True,"[nan, 'CWE-120']"
22,2,7,29,handle_connection,handle_connection( struct httpd_state * s),286,292,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_75agzp7u_Flawfinder,"handle_connection( struct httpd_state * s){
  handle_input(s);
  if(s->state == STATE_OUTPUT) {
    handle_output(s);
  }
}
",handle_connection,,True,['CWE-685']
23,10,35,235,httpd_appcall,httpd_appcall( void * state),295,331,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_75agzp7u_Flawfinder,"httpd_appcall( void * state){
  struct httpd_state *s = (struct httpd_state *)state;

  if(uip_closed() || uip_aborted() || uip_timedout()) {
    if(s != NULL) {
      memb_free(&conns, s);
    }
  } else if(uip_connected()) {
    s = (struct httpd_state *)memb_alloc(&conns);
    if(s == NULL) {
      uip_abort();
      return;
    }
    tcp_markconn(uip_conn, s);
    PSOCK_INIT(&s->sin, (uint8_t *)s->inputbuf, sizeof(s->inputbuf) - 1);
    PSOCK_INIT(&s->sout, (uint8_t *)s->inputbuf, sizeof(s->inputbuf) - 1);
    PT_INIT(&s->outputpt);
    s->state = STATE_WAITING;
    /*    timer_set(&s->timer, CLOCK_SECOND * 100);*/
    s->timer = 0;
    handle_connection(s);
  } else if(s != NULL) {
    if(uip_poll()) {
      ++s->timer;
      if(s->timer >= 20) {
	uip_abort();
	memb_free(&conns, s);
      }
    } else {
      s->timer = 0;
    }
    handle_connection(s);
  } else {
    uip_abort();
  }
}
",httpd_appcall,,False,benign
24,1,6,24,httpd_init,httpd_init( void),334,339,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_75agzp7u_Flawfinder,"httpd_init( void){
  tcp_listen(HTONS(80));
  memb_init(&conns);
  httpd_cgi_init();
}
",httpd_init,,False,benign
25,7,28,177,httpd_sprint_ip6,"httpd_sprint_ip6( uip_ip6addr_t addr , char * result)",343,371,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_75agzp7u_Flawfinder,"httpd_sprint_ip6( uip_ip6addr_t addr , char * result){
  unsigned char i = 0;
  unsigned char zerocnt = 0;
  unsigned char numprinted = 0;
  char * starting = result;

  *result++='[';
  while (numprinted < 8) {
    if ((addr.u16[i] == 0) && (zerocnt == 0)) {
      while(addr.u16[zerocnt + i] == 0) zerocnt++;
      if (zerocnt == 1) {
        *result++ = '0';
         numprinted++;
         break;
      }
      i += zerocnt;
      numprinted += zerocnt;
    } else {
      result += sprintf(result, ""%x"", (unsigned int)(ntohs(addr.u16[i])));
      i++;
      numprinted++;
    }
    if (numprinted != 8) *result++ = ':';
  }
  *result++=']';
  *result=0;
  return (result - starting);
}
",httpd_sprint_ip6,,True,['CWE-120']
26,7,28,177,httpd_sprint_ip6,"httpd_sprint_ip6( uip_ip6addr_t addr , char * result)",343,371,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_75agzp7u_Flawfinder,"httpd_sprint_ip6( uip_ip6addr_t addr , char * result){
  unsigned char i = 0;
  unsigned char zerocnt = 0;
  unsigned char numprinted = 0;
  char * starting = result;

  *result++='[';
  while (numprinted < 8) {
    if ((addr.u16[i] == 0) && (zerocnt == 0)) {
      while(addr.u16[zerocnt + i] == 0) zerocnt++;
      if (zerocnt == 1) {
        *result++ = '0';
         numprinted++;
         break;
      }
      i += zerocnt;
      numprinted += zerocnt;
    } else {
      result += sprintf(result, ""%x"", (unsigned int)(ntohs(addr.u16[i])));
      i++;
      numprinted++;
    }
    if (numprinted != 8) *result++ = ':';
  }
  *result++=']';
  *result=0;
  return (result - starting);
}
",httpd_sprint_ip6,,True,['CWE-120']
27,5,21,112,PROCESS_THREAD,"PROCESS_THREAD( webserver_process , ev , data)",63,90,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_x8h3altd_Flawfinder,"PROCESS_THREAD( webserver_process , ev , data){
  PROCESS_BEGIN();
  
  ctk_window_new(&mainwindow, LOG_WIDTH, LOG_HEIGHT+1, ""Web server"");
  
  CTK_WIDGET_ADD(&mainwindow, &message);
  CTK_WIDGET_ADD(&mainwindow, &loglabel);
  
  httpd_init();
  
  ctk_window_open(&mainwindow);

  while(1) {
    PROCESS_WAIT_EVENT();

    if(ev == ctk_signal_window_close ||
       ev == PROCESS_EVENT_EXIT) {
      ctk_window_close(&mainwindow);
      process_exit(&webserver_process);
      LOADER_UNLOAD();    
    } else if(ev == tcpip_event) {
      httpd_appcall(data);
    }
  }

  PROCESS_END();
}
",PROCESS_THREAD,,True,unknown_vul
28,5,21,112,PROCESS_THREAD,"PROCESS_THREAD( webserver_process , ev , data)",63,90,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_x8h3altd_Flawfinder,"PROCESS_THREAD( webserver_process , ev , data){
  PROCESS_BEGIN();
  
  ctk_window_new(&mainwindow, LOG_WIDTH, LOG_HEIGHT+1, ""Web server"");
  
  CTK_WIDGET_ADD(&mainwindow, &message);
  CTK_WIDGET_ADD(&mainwindow, &loglabel);
  
  httpd_init();
  
  ctk_window_open(&mainwindow);

  while(1) {
    PROCESS_WAIT_EVENT();

    if(ev == ctk_signal_window_close ||
       ev == PROCESS_EVENT_EXIT) {
      ctk_window_close(&mainwindow);
      process_exit(&webserver_process);
      LOADER_UNLOAD();    
    } else if(ev == tcpip_event) {
      httpd_appcall(data);
    }
  }

  PROCESS_END();
}
",PROCESS_THREAD,,True,unknown_vul
29,5,21,112,PROCESS_THREAD,"PROCESS_THREAD( webserver_process , ev , data)",63,90,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_x8h3altd_Flawfinder,"PROCESS_THREAD( webserver_process , ev , data){
  PROCESS_BEGIN();
  
  ctk_window_new(&mainwindow, LOG_WIDTH, LOG_HEIGHT+1, ""Web server"");
  
  CTK_WIDGET_ADD(&mainwindow, &message);
  CTK_WIDGET_ADD(&mainwindow, &loglabel);
  
  httpd_init();
  
  ctk_window_open(&mainwindow);

  while(1) {
    PROCESS_WAIT_EVENT();

    if(ev == ctk_signal_window_close ||
       ev == PROCESS_EVENT_EXIT) {
      ctk_window_close(&mainwindow);
      process_exit(&webserver_process);
      LOADER_UNLOAD();    
    } else if(ev == tcpip_event) {
      httpd_appcall(data);
    }
  }

  PROCESS_END();
}
",PROCESS_THREAD,,True,unknown_vul
30,1,13,110,webserver_log_file,"webserver_log_file( uip_ipaddr_t * requester , char * file)",93,113,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_x8h3altd_Flawfinder,"webserver_log_file( uip_ipaddr_t * requester , char * file){
  int size;
  
  /* Scroll previous entries upwards */
  memcpy(log, &log[LOG_WIDTH], LOG_WIDTH * (LOG_HEIGHT - 1));

  /* Print out IP address of requesting host. */
  size = sprintf(&log[LOG_WIDTH * (LOG_HEIGHT - 1)],
		 ""%d.%d.%d.%d: "",
		 requester->u8[0],
		 requester->u8[1],
		 requester->u8[2],
		 requester->u8[3]);
  
  /* Copy filename into last line. */		 
  strncpy(&log[LOG_WIDTH * (LOG_HEIGHT - 1) + size], file, LOG_WIDTH - size);
	   
  /* Update log display. */
  CTK_WIDGET_REDRAW(&loglabel);
}
",webserver_log_file,,True,"[nan, 'CWE-788', 'CWE-120']"
31,1,13,110,webserver_log_file,"webserver_log_file( uip_ipaddr_t * requester , char * file)",93,113,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_x8h3altd_Flawfinder,"webserver_log_file( uip_ipaddr_t * requester , char * file){
  int size;
  
  /* Scroll previous entries upwards */
  memcpy(log, &log[LOG_WIDTH], LOG_WIDTH * (LOG_HEIGHT - 1));

  /* Print out IP address of requesting host. */
  size = sprintf(&log[LOG_WIDTH * (LOG_HEIGHT - 1)],
		 ""%d.%d.%d.%d: "",
		 requester->u8[0],
		 requester->u8[1],
		 requester->u8[2],
		 requester->u8[3]);
  
  /* Copy filename into last line. */		 
  strncpy(&log[LOG_WIDTH * (LOG_HEIGHT - 1) + size], file, LOG_WIDTH - size);
	   
  /* Update log display. */
  CTK_WIDGET_REDRAW(&loglabel);
}
",webserver_log_file,,True,"[nan, 'CWE-788', 'CWE-120']"
32,1,6,52,webserver_log,webserver_log( char * msg),116,126,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_x8h3altd_Flawfinder,"webserver_log( char * msg){
  /* Scroll previous entries upwards */
  memcpy(log, &log[LOG_WIDTH], LOG_WIDTH * (LOG_HEIGHT - 1));

  /* Copy filename into last line. */		 
  strncpy(&log[LOG_WIDTH * (LOG_HEIGHT - 1)], msg, LOG_WIDTH);
  
  /* Update log display. */
  CTK_WIDGET_REDRAW(&loglabel);
}
",webserver_log,,True,"[nan, 'CWE-120']"
33,5,16,74,httpd_fs_strcmp,"httpd_fs_strcmp( const char * str1 , const char * str2)",49,67,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_nqev3dkr_Flawfinder,"httpd_fs_strcmp( const char * str1 , const char * str2){
  u8_t i;
  i = 0;

loop:
  if(str2[i] == 0 ||
     str1[i] == '\r' || 
     str1[i] == '\n') {
    return 0;
  }

  if(str1[i] != str2[i]) {
    return 1;
  }

  ++i;
  goto loop;
}
",httpd_fs_strcmp,,True,unknown_vul
